geo,year,brecha_general,tasa_stem,nace_r2,brecha_sector,country_name,gggi_eas,gggi_ggi,gggi_pos
CZ,2013,22.3,11.4,M,26.3,Czech Republic,,,
CZ,2013,22.3,11.4,N,7.8,Czech Republic,,,
CZ,2013,22.3,11.4,O,12.3,Czech Republic,,,
CZ,2013,22.3,11.4,P,25.5,Czech Republic,,,
CZ,2013,22.3,11.4,Q,29.9,Czech Republic,,,
CZ,2013,22.3,11.4,R,12.9,Czech Republic,,,
CZ,2013,22.3,11.4,S,26.1,Czech Republic,,,
DE,2013,22.1,10.1,B,4.1,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,B-N,25.4,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,B-S,20.8,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,B-S_X_O,22.1,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,C,26.2,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,D,21.6,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,E,4.4,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,F,13.8,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,G,24.2,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,H,5.3,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,I,10.7,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,J,27.3,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,K,29.3,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,L,17.1,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,M,31.4,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,N,14.0,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,O,7.8,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,P,11.4,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,Q,23.9,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,R,29.0,Germany,1.0,0.78,0.74
DE,2013,22.1,10.1,S,21.8,Germany,1.0,0.78,0.74
DK,2013,16.5,14.3,B,14.3,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,B-N,17.1,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,B-S,16.2,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,B-S_X_O,16.5,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,C,12.8,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,D,21.3,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,E,4.3,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,F,10.9,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,G,20.8,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,H,11.0,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,I,5.2,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,J,17.8,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,K,21.4,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,L,7.9,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,M,22.8,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,N,4.2,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,O,10.0,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,P,8.4,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,Q,9.9,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,R,10.2,Denmark,1.0,0.8,0.81
DK,2013,16.5,14.3,S,12.4,Denmark,1.0,0.8,0.81
EE,2013,29.8,12.8,B,38.3,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,B-N,30.2,Estonia,1.0,0.7,0.71
EE,2013,29.8,12.8,B-S,28.2,Estonia,1.0,0.7,0.71
