freq,unit,isced11,sex,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,P_THAB,ED5,T,IE	: 	7.5 	2.4 	3.0 	2.8 	3.6 	4.3 d	4.9 d	5.3 d	5.4 d	5.5 d	5.4 d	: 
A,P_THAB,ED5,T,IS	: 	0.1 	0.2 	0.2 	0.1 	0.2 	0.3 	0.1 	0.1 	0.1 	0.1 	0.1 	: 
A,P_THAB,ED5,T,IT	: 	0.1 	0.2 	0.0 d	0.2 	0.3 	0.3 	0.3 	0.4 p	0.5 	0.6 	0.8 	0.8 
A,P_THAB,ED5,T,LI	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: 	: 
A,P_THAB,ED5,T,LT	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	0.0 
A,P_THAB,ED5,T,LU	: 	0.2 	0.3 	0.4 	0.5 	0.5 	0.6 	0.5 	0.7 	0.8 	0.9 	0.8 	1.0 
A,P_THAB,ED5,T,LV	: 	1.9 	2.0 	2.1 	2.1 	2.3 	2.7 	2.9 	2.1 	2.1 	2.5 	2.2 	: 
A,P_THAB,ED5,T,ME	: 	: 	: 	: 	: m	: m	: m	: m	: m	: m	: 	: m	: m
A,P_THAB,ED5,T,MK	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,T,MT	: 	2.8 	2.8 	2.9 	2.8 	2.8 	0.7 	0.6 	0.5 	0.5 	0.3 	0.3 	0.2 
A,P_THAB,ED5,T,NL	: 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.3 	0.3 	: 
A,P_THAB,ED5,T,NO	: 	2.6 	2.8 	2.6 	2.6 	2.6 	2.5 	2.4 	2.6 	3.2 	3.0 	3.6 	4.1 
A,P_THAB,ED5,T,PL	: 	: m	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,P_THAB,ED5,T,PT	: 	: m	: m	: m	0.1 	1.1 	1.3 	1.4 	1.6 	1.7 	1.5 	1.8 	: 
A,P_THAB,ED5,T,RO	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,T,RS	: 	: 	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,P_THAB,ED5,T,SE	: 	2.6 	2.3 	2.5 	2.5 	2.6 	2.7 	2.7 	3.3 	3.9 	5.6 	5.7 	: 
A,P_THAB,ED5,T,SI	: 	3.2 	2.8 	2.4 	3.0 	3.2 	3.5 	3.7 	3.5 	4.2 	4.0 	4.0 	4.5 
A,P_THAB,ED5,T,SK	: 	0.0 	0.0 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
A,P_THAB,ED5,T,TR	: 	: 	: 	5.0 	4.9 	5.0 	5.0 	3.9 	4.4 	4.6 	3.9 	4.4 	: 
A,P_THAB,ED5,T,UK	: 	2.9 	1.4 	2.3 	2.7 d	2.7 d	2.9 d	3.0 d	: 	: 	: 	: 	: 
A,P_THAB,ED5-8,F,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.5 	13.3 	13.4 	: 
A,P_THAB,ED5-8,F,AT	: 	11.6 	12.2 	11.3 	11.7 	11.9 	12.4 	13.0 	13.2 	14.4 	14.1 	15.0 	15.4 
A,P_THAB,ED5-8,F,BE	: 	6.4 	7.4 	7.1 	7.9 	7.1 	7.2 	7.5 d	8.4 d	9.1 d	9.1 	10.0 	: 
